Eagle	Time	id	x	y	z	R	P	Y
b'eagle1'	4085206.303000	11	-0.534399	0.679054	0.070000	0.000000	0.000001	-1.605016	
b'eagle1'	4085207.003000	11	-0.534432	0.679055	0.070000	0.000000	-0.000000	-1.604638	
b'eagle1'	4085207.709000	11	-0.534326	0.679076	0.070000	0.000000	0.000001	-1.605583	
b'eagle1'	4085208.413000	11	-0.534521	0.675055	0.070000	0.000000	-0.000000	-1.596932	
b'eagle1'	4085209.119000	11	-0.532120	0.675018	0.070000	0.000000	0.000001	-1.567851	
b'eagle1'	4085209.823000	11	-0.529923	0.674810	0.070000	-0.000001	-0.000001	-1.539641	
b'eagle1'	4085210.530000	11	-0.527510	0.674478	0.070000	0.000000	0.000001	-1.511917	
b'eagle1'	4085211.240000	11	-0.524845	0.673771	0.070000	0.000001	-0.000001	-1.485340	
b'eagle1'	4085211.955000	11	-0.521741	0.672947	0.070000	0.000000	-0.000000	-1.462107	
b'eagle1'	4085212.674000	11	-0.519036	0.670876	0.070000	-0.000001	-0.000001	-1.436401	
b'eagle1'	4085213.467000	11	-0.515816	0.668683	0.070000	-0.000001	0.000001	-1.406116	
b'eagle1'	4085214.261000	11	-0.512576	0.665313	0.070000	0.000001	-0.000001	-1.373372	
b'eagle1'	4085215.043000	11	-0.509040	0.660657	0.070000	-0.000000	-0.000001	-1.340443	
b'eagle1'	4085215.835000	11	-0.504945	0.655494	0.070000	0.000000	-0.000000	-1.313079	
b'eagle1'	4085216.624000	11	-0.500306	0.650104	0.070000	0.000001	-0.000001	-1.289571	
b'eagle1'	4085217.408000	11	-0.495364	0.644455	0.070000	-0.000001	-0.000001	-1.260648	
b'eagle1'	4085218.195000	11	-0.489760	0.638943	0.070000	0.000001	-0.000001	-1.229179	
b'eagle1'	4085218.985000	11	-0.484075	0.632734	0.070000	0.000000	0.000001	-1.202562	
b'eagle1'	4085219.766000	11	-0.478040	0.625381	0.070000	0.000000	-0.000000	-1.180791	
b'eagle1'	4085220.555000	11	-0.471928	0.618664	0.070000	0.000000	0.000001	-1.159210	
b'eagle1'	4085221.347000	11	-0.465179	0.611682	0.070000	0.000001	-0.000001	-1.129590	
b'eagle1'	4085222.140000	11	-0.458467	0.602678	0.070000	-0.000001	0.000001	-1.101972	
b'eagle1'	4085222.925000	11	-0.450793	0.594164	0.070000	0.000000	-0.000000	-1.080915	
b'eagle1'	4085223.712000	11	-0.443314	0.586351	0.070000	0.000000	-0.000000	-1.063671	
b'eagle1'	4085224.501000	11	-0.435597	0.578129	0.070000	0.000001	-0.000001	-1.039991	
b'eagle1'	4085225.289000	11	-0.427836	0.569670	0.070000	0.000000	-0.000000	-1.020220	
b'eagle1'	4085226.082000	11	-0.419031	0.561424	0.070000	-0.000001	-0.000001	-1.002065	
b'eagle1'	4085226.873000	11	-0.409757	0.553121	0.070000	0.000000	-0.000000	-0.975653	
b'eagle1'	4085227.661000	11	-0.400602	0.544569	0.070000	-0.000001	0.000001	-0.957898	
b'eagle1'	4085228.450000	11	-0.391294	0.536382	0.070000	0.000000	-0.000000	-0.946948	
b'eagle1'	4085229.237000	11	-0.381471	0.527616	0.070000	0.000001	0.000001	-0.928525	
b'eagle1'	4085230.026000	11	-0.372007	0.518872	0.070000	-0.000001	0.000001	-0.908486	
b'eagle1'	4085230.814000	11	-0.361867	0.509468	0.070000	0.000001	-0.000001	-0.894454	
b'eagle1'	4085231.600000	11	-0.351333	0.500399	0.070000	-0.000001	0.000001	-0.879002	
b'eagle1'	4085232.390000	11	-0.341294	0.492216	0.070000	-0.000000	0.000001	-0.871491	
b'eagle1'	4085233.181000	11	-0.330733	0.482671	0.070000	-0.000000	-0.000001	-0.853910	
b'eagle1'	4085233.972000	11	-0.319332	0.473923	0.070000	0.000001	-0.000001	-0.836436	
b'eagle1'	4085234.762000	11	-0.308202	0.465276	0.070000	-0.000000	0.000001	-0.829194	
b'eagle1'	4085235.552000	11	-0.297653	0.456946	0.070000	-0.000001	-0.000001	-0.813012	
b'eagle1'	4085236.340000	11	-0.285631	0.447873	0.070000	0.000001	-0.000001	-0.804209	
b'eagle1'	4085237.125000	11	-0.274434	0.438591	0.070000	0.000000	-0.000000	-0.788786	
b'eagle1'	4085237.914000	11	-0.263233	0.430110	0.070000	0.000000	-0.000000	-0.778891	
b'eagle1'	4085238.702000	11	-0.251001	0.420788	0.070000	-0.000001	0.000001	-0.777534	
b'eagle1'	4085239.494000	11	-0.240359	0.411585	0.070000	0.000001	0.000001	-0.757017	
b'eagle1'	4085240.284000	11	-0.227811	0.402351	0.070000	-0.000001	-0.000001	-0.754516	
b'eagle1'	4085241.071000	11	-0.215734	0.393409	0.070000	-0.000001	-0.000001	-0.747394	
b'eagle1'	4085241.863000	11	-0.204625	0.384491	0.070000	0.000001	-0.000001	-0.733718	
b'eagle1'	4085242.655000	11	-0.191484	0.375188	0.070000	-0.000000	-0.000001	-0.729411	
b'eagle1'	4085243.448000	11	-0.179608	0.366353	0.070000	0.000000	-0.000000	-0.719087	
b'eagle1'	4085244.244000	11	-0.166777	0.357444	0.070000	0.000000	-0.000000	-0.718197	
b'eagle1'	4085245.033000	11	-0.154261	0.348384	0.070000	0.000000	0.000001	-0.703421	
b'eagle1'	4085245.822000	11	-0.142837	0.339695	0.070000	0.000001	-0.000001	-0.697594	
b'eagle1'	4085246.618000	11	-0.129454	0.330892	0.070000	0.000000	-0.000000	-0.693736	
b'eagle1'	4085247.407000	11	-0.117151	0.322110	0.070000	0.000000	-0.000000	-0.688631	
b'eagle1'	4085248.196000	11	-0.104141	0.312653	0.070000	0.000001	0.000001	-0.680394	
b'eagle1'	4085248.986000	11	-0.092320	0.304296	0.070000	-0.000000	-0.000001	-0.676352	
b'eagle1'	4085249.773000	11	-0.078927	0.295371	0.070000	-0.000001	0.000001	-0.673187	
b'eagle1'	4085250.567000	11	-0.066421	0.286059	0.070000	0.000000	-0.000000	-0.665028	
b'eagle1'	4085251.354000	11	-0.053976	0.277518	0.070000	0.000001	-0.000001	-0.663644	
b'eagle1'	4085252.146000	11	-0.040913	0.268815	0.070000	-0.000000	-0.000001	-0.656257	
b'eagle1'	4085252.937000	11	-0.028229	0.259785	0.070000	-0.000001	0.000001	-0.651603	
b'eagle1'	4085253.724000	11	-0.015072	0.251245	0.070000	0.000000	-0.000000	-0.648790	
b'eagle1'	4085254.510000	11	-0.002134	0.242910	0.070000	0.000000	-0.000000	-0.645716	
b'eagle1'	4085255.294000	11	0.011104	0.234062	0.070000	-0.000000	-0.000001	-0.638869	
b'eagle1'	4085256.086000	11	0.023592	0.224883	0.070000	-0.000001	0.000001	-0.636475	
b'eagle1'	4085256.874000	11	0.037370	0.216456	0.070000	-0.000001	0.000001	-0.634922	
b'eagle1'	4085257.662000	11	0.050124	0.207716	0.070000	0.000000	-0.000000	-0.630097	
b'eagle1'	4085258.453000	11	0.063130	0.199156	0.070000	-0.000000	-0.000001	-0.628561	
b'eagle1'	4085259.240000	11	0.076220	0.190398	0.070000	0.000001	0.000001	-0.626530	
b'eagle1'	4085260.027000	11	0.089753	0.181958	0.070000	0.000000	0.000001	-0.622188	
b'eagle1'	4085260.811000	11	0.102312	0.173485	0.070000	-0.000000	-0.000001	-0.619321	
b'eagle1'	4085261.595000	11	0.115979	0.165166	0.070000	0.000000	-0.000000	-0.617522	
b'eagle1'	4085262.379000	11	0.128619	0.157178	0.070000	-0.000001	0.000001	-0.615747	
b'eagle1'	4085263.161000	11	0.142173	0.148344	0.070000	0.000000	-0.000000	-0.610322	
b'eagle1'	4085263.945000	11	0.155069	0.139950	0.070000	-0.000001	-0.000001	-0.611903	
b'eagle1'	4085264.730000	11	0.168472	0.131567	0.070000	0.000001	0.000001	-0.606448	
b'eagle1'	4085265.523000	11	0.181454	0.123320	0.070000	0.000001	0.000001	-0.605856	
b'eagle1'	4085266.303000	11	0.194701	0.114343	0.070000	-0.000001	-0.000001	-0.603094	
b'eagle1'	4085267.089000	11	0.207578	0.106523	0.070000	0.000000	-0.000000	-0.606261	
b'eagle1'	4085267.872000	11	0.221029	0.097826	0.070000	0.000001	0.000001	-0.598051	
b'eagle1'	4085268.658000	11	0.234737	0.089385	0.070000	0.000000	0.000001	-0.602178	
b'eagle1'	4085269.438000	11	0.247503	0.081387	0.070000	0.000001	-0.000001	-0.597160	
b'eagle1'	4085270.217000	11	0.260533	0.073420	0.070000	0.000000	-0.000000	-0.594833	
b'eagle1'	4085271.001000	11	0.274057	0.064788	0.070000	0.000000	0.000001	-0.592649	
b'eagle1'	4085271.788000	11	0.286933	0.057169	0.070000	-0.000001	-0.000001	-0.594412	
b'eagle1'	4085272.573000	11	0.300455	0.048674	0.070000	0.000001	-0.000001	-0.590731	
b'eagle1'	4085273.355000	11	0.313839	0.039896	0.070000	0.000000	-0.000000	-0.590147	
b'eagle1'	4085274.139000	11	0.326989	0.032108	0.070000	-0.000001	0.000001	-0.592650	
b'eagle1'	4085274.950000	11	0.340312	0.023651	0.070000	-0.000001	-0.000001	-0.586583	
b'eagle1'	4085275.763000	11	0.353983	0.015037	0.070000	0.000001	0.000001	-0.589046	
b'eagle1'	4085276.577000	11	0.367140	0.006599	0.070000	0.000001	-0.000001	-0.584155	
b'eagle1'	4085277.396000	11	0.381508	-0.001645	0.070000	-0.000001	-0.000001	-0.589660	
b'eagle1'	4085278.224000	11	0.395013	-0.009933	0.070000	-0.000001	-0.000001	-0.579313	
b'eagle1'	4085279.049000	11	0.409516	-0.018214	0.070000	0.000000	-0.000001	-0.590210	
b'eagle1'	4085279.863000	11	0.423233	-0.026893	0.070000	-0.000000	-0.000001	-0.580797	
b'eagle1'	4085280.687000	11	0.437129	-0.035455	0.070000	0.000001	0.000001	-0.581002	
b'eagle1'	4085281.513000	11	0.450825	-0.044007	0.070000	0.000000	-0.000000	-0.578130	
b'eagle1'	4085282.340000	11	0.465414	-0.052426	0.070000	-0.000000	-0.000001	-0.586959	
b'eagle1'	4085283.190000	11	0.479184	-0.061239	0.070000	-0.000001	0.000001	-0.574171	
b'eagle1'	4085284.081000	11	0.493635	-0.069744	0.070000	0.000000	0.000001	-0.580132	
b'eagle1'	4085284.984000	11	0.508263	-0.078838	0.070000	0.000000	0.000001	-0.579498	
b'eagle1'	4085285.875000	11	0.524253	-0.088109	0.070000	-0.000001	-0.000001	-0.576082	
b'eagle1'	4085286.732000	11	0.538905	-0.097131	0.070000	-0.000001	0.000001	-0.572184	
b'eagle1'	4085287.576000	11	0.553894	-0.105367	0.070000	-0.000001	0.000001	-0.579518	
b'eagle1'	4085288.427000	11	0.567792	-0.114715	0.070000	0.000001	0.000001	-0.574359	
b'eagle1'	4085289.281000	11	0.582465	-0.123378	0.070000	0.000001	0.000001	-0.568265	
b'eagle1'	4085290.130000	11	0.596627	-0.132047	0.070000	0.000001	-0.000001	-0.579552	
b'eagle1'	4085290.978000	11	0.611131	-0.140676	0.070000	-0.000001	-0.000001	-0.572920	
b'eagle1'	4085291.872000	11	0.625282	-0.150056	0.070000	0.000000	-0.000000	-0.569971	
b'eagle1'	4085292.769000	11	0.640662	-0.158702	0.070000	0.000001	0.000001	-0.575730	
b'eagle1'	4085293.655000	11	0.655375	-0.167384	0.070000	0.000000	-0.000000	-0.577441	
b'eagle1'	4085294.537000	11	0.670184	-0.177111	0.070000	0.000000	-0.000000	-0.569458	
b'eagle1'	4085295.462000	11	0.685345	-0.185358	0.070000	-0.000001	-0.000001	-0.572336	
b'eagle1'	4085296.313000	11	0.700504	-0.194724	0.070000	-0.000001	-0.000001	-0.577183	
b'eagle1'	4085297.162000	11	0.715499	-0.204169	0.070000	-0.000001	-0.000001	-0.570251	
b'eagle1'	4085298.013000	11	0.728884	-0.212702	0.070000	0.000000	0.000001	-0.564602	
b'eagle1'	4085298.862000	11	0.744089	-0.221098	0.070000	0.000000	-0.000000	-0.572344	
b'eagle1'	4085299.707000	11	0.757981	-0.229831	0.070000	0.000000	-0.000000	-0.569808	
b'eagle1'	4085300.555000	11	0.772259	-0.238545	0.070000	-0.000000	-0.000001	-0.567652	
b'eagle1'	4085301.394000	11	0.786585	-0.246496	0.070000	0.000001	0.000001	-0.570309	
b'eagle1'	4085302.233000	11	0.800480	-0.254380	0.070000	0.000000	-0.000000	-0.568085	
b'eagle1'	4085303.077000	11	0.814569	-0.262677	0.070000	-0.000001	-0.000001	-0.570316	
b'eagle1'	4085303.918000	11	0.829420	-0.271270	0.070000	-0.000001	0.000001	-0.569358	
b'eagle1'	4085304.759000	11	0.843374	-0.279152	0.070000	-0.000000	-0.000001	-0.566857	
b'eagle1'	4085305.599000	11	0.857436	-0.287369	0.070000	0.000000	0.000001	-0.567938	
b'eagle1'	4085306.443000	11	0.872014	-0.295224	0.070000	0.000000	-0.000000	-0.565593	
b'eagle1'	4085307.286000	11	0.886574	-0.303927	0.070000	0.000001	0.000001	-0.562463	
b'eagle1'	4085308.129000	11	0.900740	-0.311437	0.070000	0.000001	-0.000001	-0.568250	
b'eagle1'	4085308.977000	11	0.914965	-0.319136	0.070000	0.000001	0.000001	-0.568181	
b'eagle1'	4085309.820000	11	0.929509	-0.327342	0.070000	0.000001	-0.000001	-0.561904	
b'eagle1'	4085310.656000	11	0.943578	-0.335233	0.070000	0.000000	0.000001	-0.562480	
b'eagle1'	4085311.493000	11	0.957667	-0.343396	0.070000	0.000000	0.000001	-0.560252	
