Eagle	Time	id	x	y	z	R	P	Y
b'eagle1'	4084027.496000	11	0.140537	0.651348	0.070000	0.000000	-0.000000	-2.674620	
b'eagle1'	4084028.263000	11	0.140791	0.638218	0.070000	-0.000001	0.000001	-2.695035	
b'eagle1'	4084029.023000	11	0.140216	0.624767	0.070000	-0.000001	-0.000001	-2.704071	
b'eagle1'	4084029.786000	11	0.139400	0.612062	0.070000	0.000001	-0.000001	-2.716360	
b'eagle1'	4084030.547000	11	0.137752	0.598110	0.070000	0.000001	-0.000001	-2.727656	
b'eagle1'	4084031.309000	11	0.135752	0.584612	0.070000	-0.000001	-0.000001	-2.734893	
b'eagle1'	4084032.064000	11	0.133071	0.570593	0.070000	0.000000	-0.000001	-2.746957	
b'eagle1'	4084032.824000	11	0.130572	0.556633	0.070000	0.000001	-0.000001	-2.750987	
b'eagle1'	4084033.583000	11	0.127502	0.542721	0.070000	0.000000	-0.000000	-2.759727	
b'eagle1'	4084034.349000	11	0.124052	0.528997	0.070000	-0.000000	0.000001	-2.768629	
b'eagle1'	4084035.108000	11	0.120410	0.515476	0.070000	-0.000000	0.000001	-2.771416	
b'eagle1'	4084035.868000	11	0.116197	0.501069	0.070000	-0.000001	-0.000001	-2.776069	
b'eagle1'	4084036.635000	11	0.111625	0.487338	0.070000	0.000001	-0.000001	-2.776280	
b'eagle1'	4084037.393000	11	0.106357	0.473016	0.070000	-0.000000	0.000001	-2.776705	
b'eagle1'	4084038.149000	11	0.101677	0.459500	0.070000	0.000001	-0.000001	-2.776788	
b'eagle1'	4084038.909000	11	0.097001	0.445863	0.070000	0.000000	-0.000000	-2.781945	
b'eagle1'	4084039.669000	11	0.091942	0.432428	0.070000	-0.000001	0.000001	-2.779742	
b'eagle1'	4084040.437000	11	0.086350	0.418282	0.070000	0.000000	-0.000000	-2.778726	
b'eagle1'	4084041.201000	11	0.080396	0.404906	0.070000	-0.000001	-0.000001	-2.771446	
b'eagle1'	4084041.964000	11	0.074763	0.391129	0.070000	0.000000	-0.000000	-2.773683	
b'eagle1'	4084042.726000	11	0.068947	0.377991	0.070000	-0.000000	0.000001	-2.769166	
b'eagle1'	4084043.491000	11	0.063288	0.364226	0.070000	0.000000	-0.000000	-2.766241	
b'eagle1'	4084044.255000	11	0.056908	0.350929	0.070000	0.000000	-0.000000	-2.760809	
b'eagle1'	4084045.019000	11	0.050758	0.338348	0.070000	-0.000001	-0.000000	-2.753522	
b'eagle1'	4084045.782000	11	0.044210	0.325056	0.070000	0.000000	-0.000001	-2.750302	
b'eagle1'	4084046.572000	11	0.038167	0.311687	0.070000	0.000000	-0.000001	-2.745606	
b'eagle1'	4084047.369000	11	0.031363	0.298046	0.070000	0.000000	-0.000001	-2.739929	
b'eagle1'	4084048.135000	11	0.024800	0.284391	0.070000	0.000000	-0.000000	-2.728523	
b'eagle1'	4084048.897000	11	0.018690	0.271138	0.070000	-0.000000	0.000001	-2.724761	
b'eagle1'	4084049.659000	11	0.012695	0.258199	0.070000	0.000000	-0.000000	-2.715427	
b'eagle1'	4084050.431000	11	0.006333	0.245247	0.070000	0.000000	-0.000001	-2.709594	
b'eagle1'	4084051.195000	11	0.000589	0.232236	0.070000	0.000000	-0.000000	-2.697205	
b'eagle1'	4084051.953000	11	-0.005127	0.219118	0.070000	0.000000	-0.000000	-2.692433	
b'eagle1'	4084052.713000	11	-0.010559	0.206775	0.070000	0.000000	-0.000000	-2.678750	
b'eagle1'	4084053.476000	11	-0.016809	0.193814	0.070000	0.000001	0.000001	-2.672785	
b'eagle1'	4084054.234000	11	-0.022549	0.180736	0.070000	0.000000	-0.000000	-2.659939	
b'eagle1'	4084054.991000	11	-0.028016	0.167570	0.070000	-0.000000	0.000001	-2.654504	
b'eagle1'	4084055.752000	11	-0.033568	0.154459	0.070000	0.000000	-0.000000	-2.639636	
b'eagle1'	4084056.538000	11	-0.039013	0.141877	0.070000	0.000001	0.000001	-2.631049	
b'eagle1'	4084057.315000	11	-0.044586	0.128435	0.070000	0.000000	-0.000000	-2.616957	
b'eagle1'	4084058.088000	11	-0.049610	0.115139	0.070000	-0.000001	0.000001	-2.608639	
b'eagle1'	4084058.869000	11	-0.053789	0.102171	0.070000	-0.000000	0.000001	-2.597180	
b'eagle1'	4084059.652000	11	-0.058913	0.088549	0.070000	0.000000	-0.000000	-2.583199	
b'eagle1'	4084060.435000	11	-0.063779	0.075450	0.070000	-0.000001	0.000001	-2.570400	
b'eagle1'	4084061.221000	11	-0.068548	0.061583	0.070000	0.000000	-0.000000	-2.555904	
b'eagle1'	4084062.003000	11	-0.072673	0.048447	0.070000	-0.000000	0.000001	-2.549506	
b'eagle1'	4084062.790000	11	-0.077561	0.034746	0.070000	0.000000	0.000001	-2.532925	
b'eagle1'	4084063.565000	11	-0.081770	0.021297	0.070000	0.000000	-0.000000	-2.527867	
b'eagle1'	4084064.343000	11	-0.086178	0.007787	0.070000	-0.000000	0.000001	-2.506826	
b'eagle1'	4084065.118000	11	-0.090489	-0.005566	0.070000	0.000001	0.000001	-2.496588	
b'eagle1'	4084065.898000	11	-0.094549	-0.018497	0.070000	0.000000	-0.000000	-2.480220	
b'eagle1'	4084066.675000	11	-0.098098	-0.032874	0.070000	0.000001	-0.000001	-2.468112	
b'eagle1'	4084067.472000	11	-0.101712	-0.045614	0.070000	0.000001	0.000001	-2.454750	
b'eagle1'	4084068.282000	11	-0.105410	-0.059873	0.070000	-0.000001	0.000001	-2.438395	
