Eagle	Time	id	x	y	z	R	P	Y
b'eagle1'	4089926.199000	11	-0.222844	0.913251	0.070000	-0.000000	-0.000001	0.532913	
b'eagle1'	4089926.897000	11	-0.218015	0.906099	0.070000	0.000001	-0.000001	0.533297	
b'eagle1'	4089927.597000	11	-0.212812	0.898950	0.070000	-0.000001	0.000001	0.534360	
b'eagle1'	4089928.300000	11	-0.207275	0.891765	0.070000	0.000001	-0.000001	0.536609	
b'eagle1'	4089929.090000	11	-0.201588	0.884566	0.070000	-0.000001	-0.000001	0.539740	
b'eagle1'	4089929.879000	11	-0.195490	0.876331	0.070000	-0.000001	-0.000001	0.536648	
b'eagle1'	4089930.671000	11	-0.189780	0.867820	0.070000	0.000000	-0.000000	0.536724	
b'eagle1'	4089931.466000	11	-0.183815	0.859311	0.070000	0.000000	0.000001	0.536867	
b'eagle1'	4089932.259000	11	-0.178256	0.851175	0.070000	0.000000	-0.000000	0.538546	
b'eagle1'	4089933.073000	11	-0.172394	0.842727	0.070000	-0.000001	0.000001	0.539350	
b'eagle1'	4089933.893000	11	-0.165510	0.833816	0.070000	0.000001	-0.000001	0.540849	
b'eagle1'	4089934.705000	11	-0.159466	0.825607	0.070000	-0.000001	-0.000001	0.538510	
b'eagle1'	4089935.519000	11	-0.153373	0.816509	0.070000	0.000000	0.000001	0.538938	
b'eagle1'	4089936.308000	11	-0.147419	0.808081	0.070000	0.000000	-0.000000	0.540009	
b'eagle1'	4089937.019000	11	-0.141760	0.799540	0.070000	-0.000000	-0.000001	0.539969	
b'eagle1'	4089937.726000	11	-0.136665	0.791844	0.070000	0.000000	-0.000000	0.541965	
b'eagle1'	4089938.426000	11	-0.131303	0.784221	0.070000	0.000000	-0.000000	0.546111	
b'eagle1'	4089939.130000	11	-0.126350	0.776631	0.070000	0.000001	0.000001	0.545121	
b'eagle1'	4089939.832000	11	-0.121035	0.769200	0.070000	0.000001	-0.000001	0.542410	
b'eagle1'	4089940.534000	11	-0.116333	0.761700	0.070000	-0.000001	0.000001	0.542773	
b'eagle1'	4089941.235000	11	-0.111426	0.754008	0.070000	0.000001	-0.000001	0.547294	
b'eagle1'	4089941.939000	11	-0.105947	0.745924	0.070000	-0.000001	-0.000001	0.551879	
b'eagle1'	4089942.647000	11	-0.100685	0.738391	0.070000	-0.000000	-0.000001	0.552682	
b'eagle1'	4089943.354000	11	-0.095695	0.731438	0.070000	0.000000	-0.000000	0.547278	
b'eagle1'	4089944.055000	11	-0.090992	0.723697	0.070000	-0.000001	0.000001	0.546326	
b'eagle1'	4089944.759000	11	-0.086262	0.715942	0.070000	0.000001	-0.000001	0.548723	
b'eagle1'	4089945.464000	11	-0.081491	0.708211	0.070000	0.000000	-0.000000	0.553612	
b'eagle1'	4089946.248000	11	-0.076635	0.701039	0.070000	-0.000001	0.000001	0.554876	
b'eagle1'	4089947.032000	11	-0.070886	0.692926	0.070000	-0.000000	-0.000001	0.554000	
b'eagle1'	4089947.826000	11	-0.065835	0.684387	0.070000	0.000000	-0.000000	0.554702	
b'eagle1'	4089948.614000	11	-0.060790	0.675814	0.070000	0.000001	-0.000001	0.554893	
